Method,Dataset,Accuracy (R@1),Accuracy (R@5),Accuracy (R@10),Extraction Latency CPU (ms),Extraction Latency GPU (ms),Matching Latency (ms),Model Memory (MB),DB Memory (MB)
TeTRA-GeM-DD[1],SVOX-sun,78.22,91.10,93.68,,13.66,0.26,55.55,4.19
TeTRA-GeM-DD[1],SVOX-rain,85.27,94.98,96.69,,13.49,0.27,55.55,4.19
TeTRA-GeM-DD[1],SVOX-snow,86.90,96.55,97.82,,13.30,0.26,55.55,4.19
TeTRA-GeM-DD[1],SVOX-overcast,91.40,97.82,98.85,,13.89,0.23,55.55,4.19
TeTRA-GeM-DD[1],SVOX-night,26.37,47.14,55.77,,13.57,0.24,55.55,4.19
TeTRA-GeM-DD[1],MSLS,79.43,88.98,91.54,,13.36,0.29,55.55,4.61
TeTRA-GeM-DD[1],Pitts30k,88.48,94.78,96.39,,13.51,0.14,55.55,2.44
TeTRA-GeM-DD[1],Essex3in1,84.76,99.05,99.05,,13.63,0.01,55.55,0.05
TeTRA-GeM-DD[1],Tokyo247,73.33,88.25,92.70,,13.68,1.03,55.55,18.55
TeTRA-GeM-DD[1],Nordland,17.54,28.41,33.51,,13.21,0.37,55.55,6.74
TeTRA-GeM-DD[1],SPED,100.00,100.00,100.00,,13.31,0.01,55.55,0.15
TeTRA-GeM-DD[2],SVOX-sun,72.48,87.00,91.22,,13.32,0.15,52.54,2.10
TeTRA-GeM-DD[2],SVOX-rain,79.19,93.49,94.98,,14.18,0.15,52.54,2.10
TeTRA-GeM-DD[2],SVOX-snow,83.45,94.71,97.01,,13.51,0.16,52.54,2.10
TeTRA-GeM-DD[2],SVOX-overcast,91.28,97.36,98.39,,13.52,0.13,52.54,2.10
TeTRA-GeM-DD[2],SVOX-night,23.09,41.68,49.70,,13.70,0.13,52.54,2.10
TeTRA-GeM-DD[2],MSLS,77.48,87.96,90.67,,13.52,0.17,52.54,2.30
TeTRA-GeM-DD[2],Pitts30k,87.82,94.26,96.17,,13.51,0.10,52.54,1.22
TeTRA-GeM-DD[2],Essex3in1,85.24,99.05,99.05,,13.38,0.01,52.54,0.03
TeTRA-GeM-DD[2],Tokyo247,67.94,85.71,90.16,,14.07,0.66,52.54,9.28
TeTRA-GeM-DD[2],Nordland,15.25,27.21,31.96,,13.52,0.22,52.54,3.37
TeTRA-GeM-DD[2],SPED,100.00,100.00,100.00,,13.14,0.01,52.54,0.07
TeTRA-BoQ-DD[1],SVOX-sun,93.91,98.71,99.30,,15.12,1.43,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-rain,96.69,99.15,99.47,,14.73,1.49,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-snow,98.05,99.31,99.43,,14.85,1.41,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-overcast,97.94,98.85,99.31,,14.89,1.33,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-night,64.88,82.14,85.42,,14.64,1.55,103.41,25.15
TeTRA-BoQ-DD[1],MSLS,86.61,92.66,94.43,,15.00,1.71,103.41,27.64
TeTRA-BoQ-DD[1],Pitts30k,91.67,95.86,97.20,,14.50,0.83,103.41,14.65
TeTRA-BoQ-DD[1],Essex3in1,90.48,100.00,100.00,,14.64,0.02,103.41,0.31
TeTRA-BoQ-DD[1],Tokyo247,88.57,94.60,96.51,,14.74,7.71,103.41,111.30
TeTRA-BoQ-DD[1],Nordland,41.01,55.11,60.51,,14.75,2.47,103.41,40.42
TeTRA-BoQ-DD[1],SPED,100.00,100.00,100.00,,14.81,0.05,103.41,0.89
TeTRA-BoQ-DD[2],SVOX-sun,94.85,98.13,98.83,,14.92,0.72,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-rain,95.41,98.51,98.93,,14.69,0.66,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-snow,97.13,98.97,99.31,,14.67,0.65,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-overcast,97.59,98.51,99.20,,14.37,0.65,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-night,64.28,81.29,85.91,,14.35,0.70,103.40,12.57
TeTRA-BoQ-DD[2],MSLS,86.38,92.62,94.17,,15.32,0.77,103.40,13.82
TeTRA-BoQ-DD[2],Pitts30k,91.56,95.88,97.04,,14.77,0.42,103.40,7.32
TeTRA-BoQ-DD[2],Essex3in1,89.52,100.00,100.00,,14.89,0.01,103.40,0.15
TeTRA-BoQ-DD[2],Tokyo247,87.30,94.92,96.83,,14.92,3.71,103.40,55.65
TeTRA-BoQ-DD[2],Nordland,38.30,53.08,58.30,,14.49,1.08,103.40,20.21
TeTRA-BoQ-DD[2],SPED,100.00,100.00,100.00,,14.37,0.03,103.40,0.44
TeTRA-SALAD-DD[1],SVOX-sun,93.44,98.48,99.18,,14.48,0.97,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-rain,94.45,98.61,98.93,,14.50,0.92,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-snow,96.32,98.85,98.97,,14.29,0.92,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-overcast,96.67,98.51,98.97,,14.84,0.91,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-night,52.37,69.87,76.31,,14.51,0.98,54.92,17.29
TeTRA-SALAD-DD[1],MSLS,84.69,91.66,93.82,,15.42,1.10,54.92,19.00
TeTRA-SALAD-DD[1],Pitts30k,90.30,95.44,97.33,,15.28,0.55,54.92,10.07
TeTRA-SALAD-DD[1],Essex3in1,87.62,100.00,100.00,,14.25,0.02,54.92,0.21
TeTRA-SALAD-DD[1],Tokyo247,85.40,93.65,95.56,,14.27,5.17,54.92,76.52
TeTRA-SALAD-DD[1],Nordland,33.19,47.17,52.90,,14.25,1.55,54.92,27.79
TeTRA-SALAD-DD[1],SPED,100.00,100.00,100.00,,14.39,0.04,54.92,0.61
TeTRA-SALAD-DD[2],SVOX-sun,89.23,97.42,98.83,,14.56,0.50,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-rain,94.24,98.19,98.72,,14.32,0.49,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-snow,95.06,98.85,99.43,,14.09,0.56,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-overcast,96.10,98.39,99.08,,14.51,0.51,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-night,45.69,67.92,75.21,,14.30,0.49,54.81,8.82
TeTRA-SALAD-DD[2],MSLS,84.05,91.20,93.13,,14.56,0.55,54.81,9.70
TeTRA-SALAD-DD[2],Pitts30k,90.45,95.70,97.12,,14.43,0.29,54.81,5.14
TeTRA-SALAD-DD[2],Essex3in1,87.14,99.52,100.00,,14.91,0.01,54.81,0.11
TeTRA-SALAD-DD[2],Tokyo247,80.95,91.43,94.92,,14.57,2.69,54.81,39.06
TeTRA-SALAD-DD[2],Nordland,29.71,44.02,49.53,,14.01,0.82,54.81,14.18
TeTRA-SALAD-DD[2],SPED,100.00,100.00,100.00,,14.35,0.02,54.81,0.31
TeTRA-MixVPR-DD[1],SVOX-sun,90.75,95.90,97.31,,14.03,0.45,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-rain,92.21,97.01,98.08,,13.90,0.45,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-snow,94.94,98.28,98.62,,14.43,0.45,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-overcast,95.30,98.17,98.74,,14.50,0.46,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-night,48.97,67.31,74.24,,13.98,0.76,61.12,8.38
TeTRA-MixVPR-DD[1],MSLS,82.18,89.95,92.08,,13.83,0.53,61.12,9.21
